country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hungary,,,,8210,8610,8790,8930,9230,9750,10.2k,11.2k,12.4k,13.7k,14.6k,15.3k,16k,17.3k,17.6k,19.4k,19.8k,20.7k,21.9k,22.3k,23.8k,24.5k,25.5k,27.2k,28.3k,30.7k,32.6k,32.4k,35.6k
Indonesia,2920,3170,3400,3680,4020,4360,4720,4940,4150,4090,4370,4710,4970,5190,5490,5890,6360,6870,7370,7660,8210,8770,9370,9710,9890,9880,10.2k,10.6k,11.3k,12k,11.8k,12.7k
India,1190,1210,1280,1350,1440,1550,1670,1740,1830,1990,2070,2180,2260,2440,2660,2920,3200,3500,3610,3870,4170,4430,4770,4950,5130,5350,5660,6050,6520,6820,6360,7130
Ireland,12.8k,13.4k,13.9k,14.6k,15.8k,17.3k,18.8k,20.4k,22.5k,23.6k,26.3k,27.8k,29.5k,31.3k,33.4k,35k,38.8k,40.4k,38.2k,34.6k,36.2k,36.6k,37.4k,40.3k,43.1k,53.1k,58.2k,61.7k,65.5k,67.8k,71k,79.4k
Iran,7590,8530,8790,8810,8770,9040,9670,9850,10k,10.2k,10.9k,11.2k,12.2k,13.4k,14.1k,14.7k,15.7k,17.2k,17.4k,17.4k,18.4k,19k,16.9k,16k,15.8k,13.8k,14.7k,15.2k,15.1k,14.7k,15.3k,16.5k
Iraq,,2640,3490,4490,4540,4570,5000,5900,7790,8950,10.5k,10.6k,9430,6020,9210,8510,9570,10.3k,11.9k,11.9k,12.2k,12.8k,14.3k,14.4k,12.9k,9120,8840,9900,10.2k,10.7k,9300,9750
Iceland,,,,,,23.6k,24.5k,26.5k,28.1k,29k,28.7k,30.8k,32.7k,32.4k,34.4k,35.5k,36.3k,38.8k,34k,33.6k,32.2k,34.5k,36.7k,42.1k,43.5k,46.5k,51k,53.9k,54.3k,57.8k,52k,55.9k
Israel,,,,,,19.2k,20.2k,20.7k,21.3k,21.6k,23.4k,23.9k,24.3k,23k,24.5k,24.6k,25.6k,27.5k,27k,26.8k,28.3k,30.2k,31k,33.6k,34.2k,35.2k,37.5k,38.9k,39.9k,39.8k,39.1k,44.1k
Italy,18.4k,19.3k,19.8k,20.1k,21k,22.1k,22.8k,23.8k,24.9k,25.6k,27k,27.9k,28.6k,29.1k,29.5k,30.2k,32.6k,34.2k,35.2k,34.6k,35.1k,36.5k,36.4k,36.3k,36.2k,36.6k,40k,41.8k,43.5k,44.8k,42.5k,46.5k
Jamaica,4350,4630,4910,5720,5690,5940,6150,6100,5970,6060,6200,6340,6430,6780,7040,7270,7740,8030,8180,7730,7820,8100,8320,8500,8630,8810,9130,9700,10k,10.4k,9380,10.2k
